id_movie,score_num,year_released
402722,6.3,1995
402723,6.6,1995
402724,6.7,1995
402725,5.9,1995
402726,6.9,1995
402727,6.9,1995
402728,5.8,1995
402729,6.0,1995
402730,7.4,1995
402731,6.0,1995
402732,6.8,1995
402733,6.7,1995
402734,6.3,1995
402735,6.8,1995
402736,6.7,1995
402737,5.9,1995
402738,7.5,1995
402739,5.9,1995
402740,5.5,1995
402741,5.7,1995
402742,5.9,1995
402743,6.7,1995
402744,6.5,1995
402745,6.4,1995
402746,5.7,1995
402747,5.3,1995
402748,6.3,1995
402749,5.2,1995
402750,7.1,1995
402751,5.3,1995
402752,6.5,1995
402753,8.1,1995
402754,7.0,1995
402755,7.1,1995
402756,6.5,1995
402757,4.3,1995
402758,6.1,1995
402759,5.3,1995
402760,6.3,1995
402761,5.7,1995
402762,5.1,1995
402763,6.8,1995
402764,6.1,1995
402765,5.5,1995
402766,7.2,1995
402767,5.8,1995
402768,6.6,1995
402769,5.9,1995
402770,6.4,1995
402771,4.6,1995
402772,7.3,1995
402773,7.4,1995
402774,7.4,1995
402775,4.7,1995
402776,6.9,1995
402777,6.0,1995
402778,6.9,1995
402779,7.4,1995
402780,5.7,1995
402781,5.9,1995
402782,5.9,1995
402783,4.8,1995
402784,6.8,1995
402785,6.6,1995
402786,6.8,1995
402787,7.7,1995
402788,7.1,1995
402789,6.5,1995
402790,5.4,1995
402791,6.0,1995
402792,6.6,1995
402793,6.5,1995
402794,7.3,1995
402795,6.6,1995
402796,6.8,1995
402797,5.6,1995
402798,7.5,1995
402799,6.5,1995
402800,7.0,1995
402801,6.6,1995
402802,6.7,1995
402803,7.0,1995
402804,6.7,1995
402805,6.2,1995
402806,4.3,1995
402807,6.8,1995
402808,6.7,1995
402809,6.5,1995
402810,5.1,1995
402811,6.4,1995
402812,6.1,1995
402813,5.6,1995
402814,6.7,1995
402815,6.0,1995
402816,5.4,1995
402817,7.7,1995
402818,6.6,1995
402819,7.6,1995
402820,5.3,1995
402821,5.2,1995
402822,4.2,1995
402823,6.5,1995
402824,4.3,1995
402825,4.5,1995
402826,5.9,1995
402827,7.6,1995
402828,4.5,1995
402829,5.7,1995
402830,6.1,1995
402831,6.4,1995
402832,6.7,1995
402833,7.4,1995
402834,6.9,1995
402835,5.5,1995
402836,5.4,1995
402837,7.5,1995
402838,5.5,1995
402839,6.6,1995
402840,5.8,1995
402841,7.3,1995
402842,4.9,1995
402843,6.4,1995
402844,6.5,1996
402845,7.0,1996
402846,6.7,1996
402847,7.3,1996
402848,7.6,1996
402849,7.2,1996
402850,8.1,1996
402851,7.1,1996
402852,6.9,1996
402853,8.1,1996
402854,6.4,1996
402855,7.0,1996
402856,5.7,1996
402857,6.4,1996
402858,7.3,1996
402859,7.4,1996
402860,7.5,1996
402861,6.4,1996
402862,7.7,1996
402863,6.3,1996
402864,7.4,1996
402865,6.8,1996
402866,6.2,1996
402867,7.0,1996
402868,6.6,1996
402869,7.3,1996
402870,8.0,1996
402871,6.6,1996
402872,7.1,1996
402873,6.9,1996
402874,4.5,1996
402875,6.9,1996
402876,7.0,1996
402877,7.1,1996
402878,6.1,1996
402879,4.5,1996
402880,7.6,1996
402881,7.2,1996
402882,5.7,1996
402883,7.1,1996
402884,6.1,1996
402885,6.6,1996
402886,5.8,1996
402887,7.2,1996
402888,5.6,1996
402889,7.7,1996
402890,7.3,1996
402891,6.8,1996
402892,6.6,1996
402893,6.4,1996
402894,6.9,1996
402895,6.7,1996
402896,6.5,1996
402897,6.4,1996
402898,4.4,1996
402899,5.8,1996
402900,6.6,1996
402901,5.5,1996
402902,6.0,1996
402903,6.7,1996
402904,5.7,1996
402905,6.0,1996
402906,6.8,1996
402907,7.4,1996
402908,7.5,1996
402909,8.0,1996
402910,5.9,1996
402911,6.4,1996
402912,6.2,1996
