id_director,name_d
100757,John McTiernan
100759,Bill Norton
100760,Andrew Davis
100762,Robert Clouse
100767,Christopher Cain
100770,Will Vinton
100773,Mike Hodges
100777,Peter Masterson
100778,Lance Hool
100780,Phillip Borsos
100782,Luis Puenzo
100785,Hal Barwood
100787,Edward Yang
100788,Emir Kusturica
100790,Steven Hahn
100792,Paul Donovan
100793,Arna Selznick
100796,Bud Yorkin
100798,Dick Clement
100800,Robert Dornhelm
100804,Freddie Francis
100807,Gavin Millar
100809,Harvey Miller
100810,David Hare
100812,Bernard Deyriès
100814,Coline Serreau
100815,Raju Patel
100817,Jovan Acin
100818,Stephen Gyllenhaal
100819,Ray Lawrence
100820,Jonathan Sanger
100821,István Szabó
100822,Gary Hudson
100824,William Asher
100825,Georges Lautner
100826,Michael Pearce
100828,Ettore Scola
100829,Roger L. Simon
100830,Sig Shore
100833,Rob Nilsson
100834,Cary Parker
100836,Ian Mune
100838,Brian Gilbert
100839,Patrick Jamain
100840,Mehdi Charef
100842,Petru Popescu
100843,Caroline Huppert
100848,Peter Faiman
100852,Howard Deutch
100868,Mike Marvin
100870,David Anspaugh
100876,Lizzie Borden
100879,Stephen King
100880,David Seltzer
100881,Tom McLoughlin
100885,Edward Zwick
100886,Stephen Herek
100892,John McNaughton
100895,Fred Dekker
100897,Robert Harmon
100900,Harry Winer
100905,Nelson Shin
100907,John Carl Buechler
100914,Spike Lee
100919,Brian Gibson
100920,Leos Carax
100921,Anthony Perkins
100922,Gary Nelson
100923,Masanori Hata
100924,Derek Jarman
100925,Randa Haines
100927,Pedro Almodóvar
100929,Fred Walton
100931,Roman Polanski
100933,Trevor Nunn
100935,Claude Berri
100944,Charles Martin Smith
100946,Penny Marshall
100947,Duncan Gibbins
100949,David Byrne
100950,Jimmy T. Murakami
100954,Tom DeSimone
100955,Paul Michael Glaser
100956,Richard Wenk
100958,Ted Nicolaou
100959,Thomas Michael Donnelly
100961,Harley Cokeliss
100962,Robert M. Young
100967,Peter Manoogian
100970,Jerry Kramer
100971,Kevin Tenney
100972,Christopher Morahan
100980,Prince
100981,Nadia Tass
100982,George Mendeluk
100983,Marco Bellocchio
100984,Julien Temple
100985,Jeffrey Delman
100989,William Fruet
100991,Emilio Estevez
100992,Jim Goddard
100995,Director
100996,David Beaird
100998,Bob Swaim
100999,Moshé Mizrahi
101000,Denys Arcand
101003,Gene Saks
101005,Paul Schneider
101009,Bill Sherwood
101011,Daryl Duke
101013,Bob Weinstein
101014,Tom Moore
101015,Andrew Lane
101017,Michelle Manning
101019,Zoran Perisic
101020,Bertrand Blier
101023,Simon Langton
101024,Dale Schott
101025,Dominic Orlando
101026,Renny Harlin
101027,Eugene Corr
101029,Eliseo Subiela
101032,Allan Burns
101033,Henning Carlsen
101034,Gideon Amir
101035,Fred Olen Ray
101038,Jerrold Freedman
101039,Fons Rademakers
101040,Evelyn Purcell
101041,Deran Sarafian
101042,Frank Harris
101043,Claude Lelouch
101049,Emile Ardolino
101050,Chris Columbus
101055,Kathryn Bigelow
101056,Michael Gottlieb
101057,Gary Goddard
101059,Clive Barker
101071,Chuck Russell
101078,Bruce Robinson
101084,Bernardo Bertolucci
101085,Marek Kanievska
101088,Joe Roth
101094,William Dear
101095,Michael Gornick
101096,Jim Drake
101098,Jimmy Huston
101099,Jeffrey Bloom
101102,Tom Mankiewicz
101103,Danny DeVito
101105,Christopher Leitch
101107,David Hugh Jones
101108,Tibor Takács
101109,John R. Cherry III
101112,Steve De Jarnatt
101115,Barbet Schroeder
101119,Alan Clarke
101121,Peter Werner
101122,Elaine May
101123,Norman Mailer
101125,Gabriel Axel
101128,Percy Adlon
101130,Phil Joanou
101132,William Phelps
101134,Ethan Wiley
101136,David Mamet
101138,Élie Chouraqui
101139,Peter R. Hunt
101141,Lyndall Hobbs
101143,Cheech Marin
101148,Bille August
101151,Janice Karman
101152,Tamar Simon Hoffs
101153,Bruce Pittman
101154,Bob Giraldi
101155,Jeff Bleckner
101157,John Flynn
101160,Dennis Feldman
101162,Pat O'Connor
101167,Ben Bolt
101170,David Leland
101171,René Laloux
101173,David Keith
101175,Lindsay Anderson
101181,Wayne Wang
101184,Lee Harry
101185,David DeCoteau
101186,Tom Daley
101187,Robert Collector
101189,Mary Lambert
101190,Paul Weiland
101193,Donald Cammell
101195,Robert Townsend
101200,Melvin Frank
101205,Bill Froehlich
101208,Michael Hoffman
101209,Arthur Penn
101211,Charlie Loventhal
101212,Abel Ferrara
101219,Christine Edzard
101220,John Duigan
101221,Peter Greenaway
101223,Phil Alden Robinson
